episodeId,bookmarkPosition,displayRuntime,runtime,title,availability.isPlayable,availability.availabilityDate,availability.availabilityStartTime,availability.unplayableCause,contextualSynopsis.text,contextualSynopsis.evidenceKey,interestingMoment._342x192.webp.$type,interestingMoment._342x192.webp.value.width,interestingMoment._342x192.webp.value.height,interestingMoment._342x192.webp.value.url,interestingMoment._342x192.webp.value.image_key,summary.type,summary.unifiedEntityId,summary.id,summary.isOriginal,summary.liveEvent.hasLiveEvent,summary.idx,summary.episode,summary.season,summary.isPlayable
80077368,1689,2976,2976,Chapter One: The Vanishing of Will Byers,True,July 15,1468591200000,,"On his way home from a friend's house, young Will sees something terrifying. Nearby, a sinister secret lurks in the depths of a government lab.",web_synopsis|80077368_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABcJkpbkXylzVOjaGCcyOxdZbIh3elldgdZZ-5crDWVeQGQH_USN3NZvrsnqK9NBnjLRoVxcvM1LFdeAJR1AG4jT1efMkAY8buxaSbv3bmqsV6m4cwem1lGsu.jpg?r=b6b,MERCH_STILL|dfa3e890-c9b5-11f0-8f55-12e5528d6511|en,episode,Video:80077368,80077368,True,False,1,1,1,True
80077369,-1,3384,3384,Chapter Two: The Weirdo on Maple Street,True,July 15,1468591200000,,"Lucas, Mike and Dustin try to talk to the girl they found in the woods. Hopper questions an anxious Joyce about an unsettling phone call.",web_synopsis|80077369_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABRLKKpt9utEJ3bu-E-TonM1hQllvHQNILHJSiLweBAnzNMNrLNbEmpr4qJknXFZTeCuWWZffCHF6hJ-kTzJOkuhpXAy7kS3_zgLEkZqcbQLgeue1ihK5FMLI.jpg?r=cc9,MERCH_STILL|05c962c0-7ec5-11e6-8984-0ed4190bdb1f|en,episode,Video:80077369,80077369,True,False,2,2,1,True
80077370,-1,3171,3171,"Chapter Three: Holly, Jolly",True,July 15,1468591200000,,An increasingly concerned Nancy looks for Barb and finds out what Jonathan's been up to. Joyce is convinced Will is trying to talk to her.,web_synopsis|80077370_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABcTFo6BgnIlIvuXaw-vynLPolrujfrBotmJNK6an0liMqNbi5cycQImr28n7oFWjFG08v4x_IGIk-lJw9FdG0J9-qVMSEIiB7UX2VoyL3j5WzR5vCnOfBJCH.jpg?r=b26,MERCH_STILL|2f2ec330-c9b6-11f0-a1bb-0e6a0bfa99d5|en,episode,Video:80077370,80077370,True,False,3,3,1,True
80077371,-1,3085,3085,Chapter Four: The Body,True,July 15,1468591200000,,"Refusing to believe Will is dead, Joyce tries to connect with her son. The boys give Eleven a makeover. Nancy and Jonathan form an unlikely alliance.",web_synopsis|80077371_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABfMEB7L1y4rwvAIbzmJb1f4YZsRcUm-YURZkt3NzlAy7V8rQ41f6fivkRd8xH9NGcd-3pVOW2OsLRR874bsEMl6DSG6Bo9lh1SkaaD3Y2HiiN8XJFY2FiXWV.jpg?r=6ad,MERCH_STILL|089469a0-7ec5-11e6-9bbe-0e6b5a566dd7|en,episode,Video:80077371,80077371,True,False,4,4,1,True
80077372,-1,3236,3236,Chapter Five: The Flea and the Acrobat,True,July 15,1468591200000,,Hopper breaks into the lab while Nancy and Jonathan confront the force that took Will. The boys ask Mr. Clarke how to travel to another dimension.,web_synopsis|80077372_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABZ4T59nVRHKS1lBQUe5oXuUMVcqOglLZlGxCI57zIzrhId0EzwY4bIFHBSARfv2TzlzBhniSh33c01wdNVMvLnWb6N-lgr4KC8GU356ZHKvVc-van_0g2Pqh.jpg?r=6d4,MERCH_STILL|0a1675c0-7ec5-11e6-b391-0a77d1264d25|en,episode,Video:80077372,80077372,True,False,5,5,1,True
80077373,-1,2861,2861,Chapter Six: The Monster,True,July 15,1468591200000,,"A frantic Jonathan looks for Nancy in the darkness, but Steve's looking for her, too. Hopper and Joyce uncover the truth about the lab's experiments.",web_synopsis|80077373_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABX4FAZAhZD3EOWlQaXlNFFcF3YfOE5Kiwk_LMIvQW3yNGpLB7sE8EeaXyurr-e9Sr1bhlOL75_FevIJM36OwAD4JnD7AUmPihaqsnJXq9vCxN9OBTcpEGJ2Z.jpg?r=3df,MERCH_STILL|0d9da0b0-7ec5-11e6-9bbe-0e6b5a566dd7|en,episode,Video:80077373,80077373,True,False,6,6,1,True
80077374,-1,2581,2581,Chapter Seven: The Bathtub,True,July 15,1468591200000,,"Eleven struggles to reach Will, while Lucas warns that ""the bad men are coming."" Nancy and Jonathan show the police what Jonathan caught on camera.",web_synopsis|80077374_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABWJxLx5Mgn8p7S4bhfDheh30CSY_SzcU9y5CPkpYE00hdj2A-YZQoqqL3jXNGgvfyjmpqq0eyrcdetfXTWTGIQfGJUPd03_x7XfUl1vUA0USc94B_h9da01Q.jpg?r=5b6,MERCH_STILL|6f267eb0-c9b6-11f0-babd-124b013da5f9|en,episode,Video:80077374,80077374,True,False,7,7,1,True
80077375,1469,3342,3342,Chapter Eight: The Upside Down,True,July 15,1468591200000,,"Dr. Brenner holds Hopper and Joyce for questioning while the boys wait with Eleven in the gym. Back at Will's, Nancy and Jonathan prepare for battle.",web_synopsis|80077375_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABRmJs8GFmy5YPfdt7pFdGckO9nc7zHUNt8Okp4oHVFp0E0e1pMKwTg3-BCn9ZOSD35xy1SSwWWjCQEPduPVv54mwxfvQfpknVNGae51YR44UpFZxzFv0dvzi.jpg?r=445,MERCH_STILL|b1a421c0-c9b6-11f0-babd-124b013da5f9|en,episode,Video:80077375,80077375,True,False,8,8,1,True
80117716,125,2945,2945,Chapter One: MADMAX,True,October 27,1509112800000,,"As the town preps for Halloween, a high-scoring rival shakes things up at the arcade, and a skeptical Hopper inspects a field of rotting pumpkins.",web_synopsis|80117716_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABULbr7pWI7SSAKXmMxXUjzUHOjkK2WC23d2MkGycXJV9RX45BZ9oL6Dcv16DylcKFNrEgH9btkc_WLGVzJ2Yqf1ppWmmLmK7Eff5FWk3FR_q9GhDuUmow38f.jpg?r=9e5,MERCH_STILL|bc6b77d0-b609-11e7-abb3-0e239ab36c92|en,episode,Video:80117716,80117716,True,False,1,1,2,True
80144891,-1,3417,3417,"Chapter Two: Trick or Treat, Freak",True,October 27,1509112800000,,"After Will sees something terrible on trick-or-treat night, Mike wonders whether Eleven's still out there. Nancy wrestles with the truth about Barb.",web_synopsis|80144891_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABYJ8bcsB56ctvmOFI510mPKfNkAJ6VlxWv9X-S6E1BtZTo7B2PzINvHXd5Qx_bWxfePPDIYFua6IRV9Bc-cqowuX-JmUAGWu6yk8kEAm7faBShEdl2UtSvmh.jpg?r=2e8,MERCH_STILL|4b76bcc0-b757-11e7-b0c2-12e6ca0245fe|en,episode,Video:80144891,80144891,True,False,2,2,2,True
80144892,-1,3114,3114,Chapter Three: The Pollywog,True,October 27,1509112800000,,"Dustin adopts a strange new pet, and Eleven grows increasingly impatient. A well-meaning Bob urges Will to stand up to his fears.",web_synopsis|80144892_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABTudLIjJmIjkYnlNN-lTSkXdtKkKra-liM9FsgQsV_bizHoZscFG9T3i1Mw0sLoaViqfXauJr5ugQnNUfDAbQlUxkS6P--jQJzb4fpZp9x-ipiGRfMnPnLFd.jpg?r=cfc,MERCH_STILL|c560b620-b609-11e7-9e74-12161571134a|en,episode,Video:80144892,80144892,True,False,3,3,2,True
80144893,-1,2827,2827,Chapter Four: Will the Wise,True,October 27,1509112800000,,"An ailing Will opens up to Joyce -- with disturbing results. While Hopper digs for the truth, Eleven unearths a surprising discovery.",web_synopsis|80144893_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABY7JU0qAiXNUouN4W1BI8C152SDOsRH_UNl7HHgpVi5aLmm_aTY6yO1XALkgtNiIxbgx73dnV1Lj7jko2QyA4O0mTyBDwm57I81AAxaloa0g86r86iJz2Vud.jpg?r=cb5,MERCH_STILL|d1fa75f0-b60a-11e7-b408-0a357514e722|en,episode,Video:80144893,80144893,True,False,4,4,2,True
80144894,-1,3541,3541,Chapter Five: Dig Dug,True,October 27,1509112800000,,Nancy and Jonathan swap conspiracy theories with a new ally as Eleven searches for someone from her past. “Bob the Brain” tackles a difficult problem.,web_synopsis|80144894_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABWeeANSKAwT7gUJGu74YQpLeOKtEn7uMW9H4QDYeG4mBUJD72DHgJNuNDmjtK7FppYjsojqN2egIAYTUo-UjrTi4hbRtAuAmLjIfcsrDmiGVuXruM9WGVoSW.jpg?r=e06,MERCH_STILL|f6e9f380-b755-11e7-b0c2-12e6ca0245fe|en,episode,Video:80144894,80144894,True,False,5,5,2,True
80144895,-1,3166,3166,Chapter Six: The Spy,True,October 27,1509112800000,,"Will's connection to a shadowy evil grows stronger, but no one's quite sure how to stop it. Elsewhere, Dustin and Steve forge an unlikely bond.",web_synopsis|80144895_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABWs3by8lZdlYrPjT5PwY7EMXoGeOBy1SW38Rm-eW4RsimxP17-Ev8lmWVTlGSy_X3AW8ZBA58uR-eD-rNdOKEZzea3Y0pejyVonpFgQSSAyM53gpvOzg9EWX.jpg?r=333,MERCH_STILL|ffdab701-c9b6-11f0-b30d-124c3ffb05e3|en,episode,Video:80144895,80144895,True,False,6,6,2,True
80144896,-1,2785,2785,Chapter Seven: The Lost Sister,True,October 27,1509112800000,,Psychic visions draw Eleven to a band of violent outcasts and an angry girl with a shadowy past.,web_synopsis|80144896_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABVXWbvh5of1D_cQ7XVHNtMa_0JLlCGFHqYFCMjZMXiaGt-LuicTweiNe5fX3wWNlJMmBzh3J_GFqaM18Xm3yHgTa_pUyVkm6juVkzXs-tJ7oz7fXVVqv3lwM.jpg?r=db8,MERCH_STILL|7029acb0-b614-11e7-b75d-0e100edc6254|en,episode,Video:80144896,80144896,True,False,7,7,2,True
80144897,-1,2922,2922,Chapter Eight: The Mind Flayer,True,October 27,1509112800000,,"An unlikely hero steps forward when a deadly development puts the Hawkins Lab on lockdown, trapping Will and several others inside.",web_synopsis|80144897_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABTFyGmDKec0v2EgHHR52mHIEikHTY9HdqDTEJn7OkPq2W8_6g-KiohdEvKx_2aJSC52OU3OJGIUl4LHxQzAGsTsYdaE-RAXZD9Y6_vAcYOf-upQuAZrQghyN.jpg?r=e0e,MERCH_STILL|3aea5800-c9b7-11f0-8738-1206cfb8c41f|en,episode,Video:80144897,80144897,True,False,8,8,2,True
80144898,-1,3780,3780,Chapter Nine: The Gate,True,October 27,1509112800000,,Eleven makes plans to finish what she started while the survivors turn up the heat on the monstrous force that's holding Will hostage.,web_synopsis|80144898_INFORMATIVE|en,atom,342,192,https://occ-0-3933-116.1.nflxso.net/dnm/api/v6/9pS1daC2n6UGc3dUogvWIPMR_OU/AAAABc41Tcn_DrIDuRdZab5Cg9t-wnWXpFUh8L7awJmBcpsfrw9y2T_wCu-fFjJuk4ItUhYRleyUxF3cS3xvZ7AtMJHJt1k30AwljSs-8l9pntOZiSl4P8iJ8tkH.jpg?r=770,MERCH_STILL|87c33200-c9b7-11f0-b30d-124c3ffb05e3|en,episode,Video:80144898,80144898,True,False,9,9,2,True
